"id","segment_ids","title","title_phrase","audio_clip"
"antiphon-only-begotten","[""antiphon-word-of-god-only-begotten"",""antiphon-deathless""]","Only-begotten Son and Word of God","title-only-begotten-son-word-of-god","{""video_id"":""-dufaXx7Hm0"",""start_seconds"":150.75,""end_seconds"":162,""default_playback_rate"":1}"
"antiphon-accepted-incarnate","[""antiphon-accepted-incarnate"",""antiphon-from-theotokos""]","You accepted to become incarnate","","{""video_id"":""-dufaXx7Hm0"",""start_seconds"":151,""end_seconds"":180.5,""default_playback_rate"":1}"
"antiphon-became-man","[""antiphon-became-man"",""antiphon-crucified""]","","","{""video_id"":""-dufaXx7Hm0"",""start_seconds"":151,""end_seconds"":180.5,""default_playback_rate"":1}"
"antiphon-trampled-death","[""antiphon-trampled-death"",""antiphon-one-of-trinity""]","","","{""video_id"":""-dufaXx7Hm0"",""start_seconds"":151,""end_seconds"":180.5,""default_playback_rate"":1}"
"antiphon-glorified-with-father","[""antiphon-glorified-with-father"",""antiphon-save-us""]","","","{""video_id"":""-dufaXx7Hm0"",""start_seconds"":151,""end_seconds"":180.5,""default_playback_rate"":1}"
"litany-of-peace","[""litany-peace-in-peace"",""litany-peace-let-us-pray"",""litany-peace-from-above"",""litany-peace-whole-world"",""litany-peace-holy-house"",""litany-peace-help-save"",""litany-peace-lord-have-mercy-all""]","","","{""video_id"":""KJKt0V4zJjY"",""start_seconds"":92.75,""end_seconds"":160,""default_playback_rate"":1}"
"entrance-let-us-pray","[""entrance-let-us-pray""]","","","null"
"entrance-bless-master","[""entrance-amen-bless-master""]","","","null"
"entrance-wisdom-stand-upright","[""entrance-wisdom-stand-upright""]","","","null"
"entrance-come-worship","[""entrance-hymn-come-worship""]","","","null"
"entrance-save-us-risen","[""entrance-hymn-save-us-son-of-god"",""entrance-hymn-risen-label"",""entrance-hymn-risen-sundays"",""entrance-hymn-risen-alleluia""]","Save us, O Son of God","","null"
"entrance-save-us-wondrous","[""entrance-hymn-save-us-son-of-god"",""entrance-hymn-weekdays-label"",""entrance-hymn-wondrous-weekdays"",""entrance-hymn-wondrous-alleluia""]","Save us, O Son of God","","null"
"preparation-glory","[""preparation-glory-highest""]","Glory to God in the highest","glory-highest-001","null"
"preparation-open-my-lips","[""preparation-open-my-lips""]","O Lord, open my lips","open-my-lips-001","null"
"first-antiphon-through-theotokos","[""first-antiphon-through-theotokos-1""]","Through the intercessions of the Theotokos","through-intercessions-001","null"
"little-litany-again","[""little-litany-again"",""little-litany-help-save""]","Again and again, in peace","","null"
"trisagion-hymn-main","[""trisagion-hymn-holy-god-1"",""trisagion-hymn-glory"",""trisagion-hymn-holy-immortal"",""trisagion-with-strength"",""trisagion-hymn-holy-god-2""]","Holy God, Holy Mighty, Holy Immortal","holy-god-001","null"
"liturgy-word-gospel-dialogue","[""gospel-wisdom-stand"",""gospel-peace-all"",""gospel-and-spirit"",""gospel-reading-from"",""gospel-glory-before"",""gospel-let-us-attend""]","Wisdom. Stand upright.","wisdom-001","null"
"lord-have-mercy","[""litany-peace-lord-have-mercy-choir""]","Lord have mercy","lord-have-mercy-001","null"
"jesus-prayer","[""course-jesus-prayer""]","Lord Jesus Christ","jesus-prayer-lord-jesus-christ-001","null"
"glory-both-now","[""first-antiphon-glory"",""first-antiphon-both-now""]","Glory to the Father","glory-001","null"
"glory-both-now-beginner","[""course-glory-beginner"",""course-both-now-beginner""]","Glory to the Father","beginner-glory-to-father-001","null"
"trisagion-hymn-core","[""trisagion-hymn-holy-god-2""]","Holy God Holy Mighty Holy Immortal","holy-god-001","null"
"all-holy-trinity","[""course-all-holy-trinity-address"",""course-all-holy-trinity-lord"",""course-all-holy-trinity-master"",""course-all-holy-trinity-holy-one""]","All Holy Trinity","all-holy-trinity-001","null"
